Last Name,First Name,Status,Salary
Williams,Mary,Full Time," $35000 "
Brown,Robert,Full Time," $32000 "
Wilson,Elizabeth,Part Time," $12000 "
Moore,Jennifer,Full Time," $41000 "
Brown,Charles,Full Time," $39000 "
Price,Lisa,Part Time," $14000 "
Wood,Daniel,Part Time," $13750 "
Coleman,Donald,Full Time," $37500 "
Perry,George,Part Time," $12050 "
Steele,Donna,Full Time," $36750 "
Schultz,Carol,Full Time," $38050 "
Munoz,Ruth,Part Time," $11000 "
Chandler,Jason,Full Time," $29000 "
Small,Matthew,Full Time," $45500 "
Hensley,Jessica,Full Time," $52000 "
Brown,Gary,Part Time," $8000 "
Grimes,Jose,Part Time," $17000 "
Baxter,Brenda,Full Time," $36000 "
Morin,Frank,Full Time," $36500 "
Tillman,Kathleen,Part Time," $9750 "
Huber,Joshua,Full Time," $31750 "
Boyle,Debra,Full Time," $3050 "
Buckner,Jerry,Full Time," $37500 "
Knowles,Aaron,Part Time," $10050 "
Velazquez,Carlos,Part Time," $9075 "
Vang,Marilyn,Full Time," $29750 "
